geneid	pval	up_down 	pathway_ids
HCON_00009420	0.007655542	UP	ko03040,ko05322,map03040,map05322
HCON_00009440	0.328285396	none	-
HCON_00009530	0.348362467	none	ko05225,map05225
HCON_00009560	0.004535771	down	-
HCON_00009600	0.001594429	down	-
HCON_00009610	0.299076852	none	-
HCON_00009620	0.005465975	down	-
HCON_00009630	0.001347959	down	ko04622,ko05161,ko05203,map04622,map05161,map05203
HCON_00009640	0.017231785	none	-
HCON_00009650	0.00000575	UP	-
HCON_00009660	0.02712829	UP	ko00310,ko03013,map00310,map03013
HCON_00009670	0.000565234	UP	ko03030,ko04110,ko04111,ko04113,map03030,map04110,map04111,map04113
HCON_00009740	0.000153695	UP	-
HCON_00009770	0.189562135	none	ko04150,ko04310,ko04390,ko04550,ko04916,ko04934,ko05165,ko05166,ko05200,ko05205,ko05217,ko05224,ko05225,ko05226,map04150,map04310,map04390,map04550,map04916,map04934,map05165,map05166,map05200,map05205,map05217,map05224,map05225,map05226
HCON_00009790	0.01852812	UP	-
HCON_00009800	0.087875061	none	ko00830,map00830
HCON_00009810	0.019631085	UP	-
HCON_00009820	0.001881902	UP	-
HCON_00009830	0.075860595	none	-
HCON_00009860	0.13927531	none	ko05231,map05231
HCON_00009880	0.397564977	none	-
HCON_00009900	0.018334615	UP	ko00910,map00910
HCON_00009910	0.032122283	none	-
HCON_00009930	0.060798746	none	-
HCON_00009950	0.412935567	none	ko01523,ko02010,ko04071,ko04977,ko05206,map01523,map02010,map04071,map04977,map05206
HCON_00010100	0.00309744	UP	ko04080,ko04724,map04080,map04724
HCON_00010120	0.410649686	none	ko05166,ko05203,map05166,map05203
HCON_00010130	0.059280747	none	ko04144,map04144
HCON_00010160	0.008621248	UP	ko03050,map03050
HCON_00010170	0.027575959	UP	-
HCON_00010210	0.284108947	none	ko01521,ko03013,ko04066,ko04150,ko04151,ko04211,ko04910,map01521,map03013,map04066,map04150,map04151,map04211,map04910
HCON_00010250	0.197075427	none	ko03010,map03010
HCON_00010255	0.01628736	none	ko04530,ko04670,ko04810,ko04971,ko05130,ko05162,ko05205,ko05206,map04530,map04670,map04810,map04971,map05130,map05162,map05205,map05206
HCON_00010310	0.006265878	down	-
HCON_00010330	0.282262832	none	ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230
HCON_00010340	0.462999857	none	-
HCON_00010370	0.003674767	UP	ko03010,map03010
HCON_00010380	0.088440234	none	-
HCON_00010440	0.153879552	none	ko00562,ko00920,ko01100,ko01120,ko04070,map00562,map00920,map01100,map01120,map04070
HCON_00010490	0.201958992	none	ko04622,ko05161,ko05203,map04622,map05161,map05203
HCON_00010500	0.16473576	none	ko04144,ko04217,map04144,map04217
HCON_00010530	0.008476542	UP	-
HCON_00010540	0.005225684	UP	-
HCON_00010550	0.331107663	none	-
HCON_00010560	0.459079759	none	ko04152,ko04921,map04152,map04921
